EDO,VOTOS_TOTALES,EG,NM,LM,JOBR,JABE,BERA,CF,DC,EM,AE
DTTO. CAPITAL,789877,505956,256288,6228,1652,1700,7078,1673,897,1616,6789
EDO. AMAZONAS,45792,27219,17374,442,127,81,56,67,53,178,195
EDO. ANZOATEGUI,632190,420436,194786,5551,2552,944,2136,747,673,1707,2658
EDO. APURE,214315,134935,75297,1753,336,338,211,227,166,553,499
EDO. ARAGUA,723599,487938,212285,6283,1628,1939,4143,1016,822,1663,5882
EDO. BARINAS,379383,282585,90236,2624,489,334,547,364,249,958,997
EDO. BOLIVAR,482762,343845,126557,4391,1168,1107,1421,587,471,1338,1877
EDO. CARABOBO,661107,466744,175133,5220,1364,2635,2860,810,727,1481,4133
EDO. COJEDES,173610,109083,60242,1551,379,294,367,273,163,487,771
EDO. DELTA AMAC,56273,30074,24797,615,110,106,111,64,53,187,156
EDO. FALCON,425682,301236,114586,3626,855,667,1106,406,444,1109,1647
EDO. GUARICO,345187,220995,116636,2843,662,556,641,342,305,976,1231
EDO. LA GUAIRA,160268,97550,57761,1530,405,346,884,218,209,398,967
EDO. LARA,729651,496527,214692,5648,1573,1744,2374,842,863,1792,3596
EDO. MERIDA,395027,303767,84482,2466,484,352,638,290,274,982,1292
EDO. MIRANDA,991534,650242,310809,8499,2057,2016,6819,1664,1079,2016,6333
EDO. MONAGAS,334148,201689,125364,2400,587,435,847,349,276,880,1321
EDO. PORTUGUESA,439448,281482,147673,3940,892,852,995,444,430,1123,1617
EDO. SUCRE,440204,220214,209600,3849,915,640,978,424,499,1273,1812
EDO. TACHIRA,486851,398690,79224,3584,667,690,750,368,407,1123,1348
EDO. TRUJILLO,347602,222227,119730,2255,485,344,432,245,279,799,806
EDO. YARACUY,297973,180683,109678,2580,953,529,722,290,372,873,1293
EDO. ZULIA,1105158,766915,321797,5924,1321,1442,1796,701,661,2030,2571
EDO.NVA.ESPARTA,229621,152448,71115,2423,436,313,708,221,212,525,1220
